name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Stylish 3 Bedroom Luxury Apartment in Harley St 3,"Offering city views, Stylish 3 Bedroom Luxury Apartment in Harley St 3 is an accommodation located in London, 600 metres from Oxford Street and less than 1...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Hosted by Saul'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Gem Fitzrovia Hotel,"In the heart of London's West End, this impressive Georgian building is now a 4-star Gem Fitzrovia Hotel.",20-28 Bolsover Street,,,London,Greater London,W1W 5NB,UK,,,,,W1W,Hotel,,
Modern Elegance 1 Bedroom City Living in London 5,"Modern Elegance 1 Bedroom City Living in London 5 is located in the Westminster Borough district of London, 600 metres from Oxford Street, less than 1 km...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Hosted by Saul'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
"Modern London Luxury 3Bedroom, 3Bathroom Retreat 6","Modern London Luxury 3Bedroom, 3Bathroom Retreat 6 is located in the Westminster Borough district of London, 600 metres from Oxford Street, less than 1 km...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Hosted by Saul'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Stylish Spacious Retreat Luxury 2 Bedroom Haven 2,"Stylish Spacious Retreat Luxury 2 Bedroom Haven 2 is located in the Westminster Borough district of London, less than 1 km from Madame Tussauds, 1.",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Luxury London 3 Bedroom Duplex with Pool Table 4,"Luxury London 3 Bedroom Duplex with Pool Table 4 is situated in the Westminster Borough district of London, 600 metres from Oxford Street, less than 1 km...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Hosted by Saul'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
"City Chic 3 Bedroom, 3 Bathroom Luxury Living 7","Offering city views, City Chic 3 Bedroom, 3 Bathroom Luxury Living 7 is an accommodation situated in London, 600 metres from Oxford Street and less than 1...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Luxurious 1 Bedroom on Iconic Harley Street 1,"Luxurious 1 Bedroom on Iconic Harley Street 1 is a recently renovated apartment in the centre of London, less than 1 km from Oxford Circus and a 7-minute...",62 Harley Street,,,London,Greater London,W1G 7HA,UK,,,,,W1G,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Weymouth Mews,Weymouth Mews provides accommodation located 1.6 km from the centre of London and offers free bikes and a terrace.,Weymouth Mews,,,London,Greater London,W1G 7EE,UK,,,,,W1G,Aparthotel,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Weymouth Mews'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Apartments'>]"
4 Bed Marylebone Mews,"In the Westminster Borough district of London, close to Oxford Street, 4 Bed Marylebone Mews has free WiFi and a washing machine.",8 Cavendish Mews South,,,London,Greater London,W1W 6LB,UK,,,,,W1W,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Astor Court Hotel,"A 5-minute walk from the shops at Oxford Street and Regent Street, this elegant Victorian town house offers a breakfast to go and is a short walk from many...",20 Hallam Street,,,London,Greater London,W1W 6JQ,UK,,,,,W1W,Hotel,,
GARDEN Flat in Posh MEWS,"Set in the centre of London, just less than 1 km from Oxford Circus and a 10-minute walk from Oxford Street, GARDEN Flat in Posh MEWS offers accommodation...",45 Portland Place,,,London,Greater London,W1G 7BD,UK,,,,,W1G,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Suzy'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
2 Bed Mews House Marylebone,"In the Westminster Borough district of London, close to Oxford Street, 2 Bed Mews House Marylebone features free WiFi and a washing machine.",11 Weymouth Mews,,,London,Greater London,W1G 7EA,UK,,,,,W1G,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
YHA London Central,"Providing high-quality hostel accommodation in the heart of the capital, YHA London Central offers comfort and convenience.",104 Bolsover Street,,,London,Greater London,W1W 5NU,UK,,,,,W1W,Hostel,,
Central London Apartment - H,"Central London Apartment - H is set in the Westminster Borough district of London, 1.6 km from Tottenham Court Road, 1.5 km from Dominion Theatre and 1.",Hallam Street,,,London,Greater London,W1W 5HE,UK,,,,,W1W,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
The Z Hotel Tottenham Court Road,"Located in London, 200 metres from Carnaby Street, The Z Hotel Tottenham Court Road provides concierge services and free WiFi throughout the property.",52 Poland Street,,,London,Greater London,W1F 7NH,UK,,,,,W1F,Hotel,,
Great flat located in trendy Soho,"Great flat located in trendy Soho is located in the Westminster Borough district of London, 400 metres from Piccadilly Theatre, 700 metres from Oxford...",45 Broadwick Street Flat 3,,,London,Greater London,W1F 9QW,UK,,,,,W1F,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by MK'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Welcome London Carnaby Street,"In the Westminster Borough district of London, close to Carnaby Street, Welcome London Carnaby Street features free WiFi and a washing machine.",Sandringham court Dufours Place,,,London,Greater London,W1F 7SL,UK,,,,,W1F,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
"Beautiful 2 bed apt in the heart of Mayfair, close to Tube","Located in a central area of London, Beautiful 2 bed apt in the heart of Mayfair, close to Tube offers accommodation with city views, just 700 metres from...",30 Maddox Street,,,London,Greater London,W1S 1PS,UK,,,,,W1S,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by ALTIDO London'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Interior-Designer Apartment with 2 TERRACES,"Interior-Designer Apartment with 2 TERRACES is located in the Westminster Borough district of London, less than 1 km from Piccadilly Circus, a 5-minute...",11 Hanover Street,,,London,Greater London,W1S 1YQ,UK,,,,,W1S,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Suzy'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Excellent Entire Apartment at Regent St. and Oxford St. London,"Situated in London and with Piccadilly Theatre reachable within 300 metres, Excellent Entire Apartment at Regent St. And Oxford St.",50 Marshall Street,,,London,Greater London,W1F 9BQ,UK,,,,,W1F,Hotel,,
soho london suite,"Soho london suite is set in London. Free WiFi is available in this apartment, located 100 metres from Carnaby Street and 300 metres from Piccadilly...",46 Broadwick Street,,,London,Greater London,W1F 9QW,UK,,,,,W1F,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
2-Bed 2-Bathroom Mayfair - Maddox St,"In the Westminster Borough district of London, close to Piccadilly Circus, 2-Bed 2-Bathroom Mayfair - Maddox St features free WiFi and a washing machine.",30 Maddox Street,,,London,Greater London,W1S 1PS,UK,,,,,W1S,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Yaseen'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Maddox House,"Offering free WiFi and city views, Maddox House is an accommodation set in the heart of London, just 700 metres from Piccadilly Theatre and 800 metres from...",30 Maddox Street 2 Mark House,,,London,Greater London,W1S 1PS,UK,,,,,W1S,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
OXFORD STREET STATION LOVELY LUX FLAT SLEEPS UP TO 6,"Located in the centre of London, 700 metres from Piccadilly Theatre, OXFORD STREET STATION LOVELY LUX FLAT SLEEPS UP TO 6 provides air-conditioned...",5 Hanover Street,,,London,Greater London,W1S 1YR,UK,,,,,W1S,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
"Pollen Street, Three-bedroom Flat","Offering free WiFi and quiet street views, Pollen Street, Three-bedroom Flat is an accommodation located in the centre of London, just 700 metres from...",11-13 Pollen Street Apartment 1.2,,,London,Greater London,W1S 1NH,UK,,,,,W1S,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Central MAYFAIR New Furniture Sleeps 6,"Ideally located in the centre of London, Central MAYFAIR New Furniture Sleeps 6 offers a terrace, air conditioning, free WiFi and flat-screen TV.",22 Maddox Street,,,London,Greater London,W1S 1PW,UK,,,,,W1S,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
2 Bed 2 Bath Apartment Off Regent Street,"Ideally set right in the centre of London, 2 Bed 2 Bath Apartment Off Regent Street is a recently renovated apartment, offering free WiFi and parking...",11 Pollen Street,,,London,Greater London,W1S 1NH,UK,,,,,W1S,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Yuliia'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
"BIG 2Bed 2Bath Mayfair,Regent Street","Set in the centre of London, 700 metres from Piccadilly Theatre and 800 metres from Piccadilly Circus, BIG 2Bed 2Bath Mayfair, Regent Street offers free...",20 Maddox Street flat 1,,,London,Greater London,W1S 1PN,UK,,,,,W1S,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Hosted by Michelle'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Oxford Circus Designer Apartment,"Oxford Circus Designer Apartment has a terrace and is located in London, within just 700 metres of Piccadilly Circus and 400 metres of Oxford Street.",13 Pollen Street,,,London,Greater London,W1S 1NH,UK,,,,,W1S,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Yuliia'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Exquisite 2 Bed Soho Central Apartment Sleeps 6,"Situated in the centre of London, 70 metres from Carnaby Street and 300 metres from Piccadilly Theatre, Exquisite 2 Bed Soho Central Apartment Sleeps 6...",Marshall Street,,,London,Greater London,W1F 7EU,UK,,,,,W1F,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Sloane Square Suite Stylish Chelsea Pad,"Offering garden views, Sloane Square Suite Stylish Chelsea Pad is an accommodation situated in London, 400 metres from Piccadilly Theatre and 600 metres...",w1f 7ey,,,London,Greater London,W1F 7EY,UK,,,,,W1F,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Oxford Circus Luxury Holiday Let,"In the Westminster Borough district of London, close to Piccadilly Theatre, Oxford Circus Luxury Holiday Let has free WiFi and a washing machine.",Westminster City Dwellings,,,London,Greater London,W1F 7ER,UK,,,,,W1F,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
No.5 Maddox Street,"Within easy reach of Bond Street, Soho and Piccadilly, No.5 Maddox Street has a quiet location in stylish Mayfair.",Maddox Street,,,London,Greater London,W1S 2QD,UK,,,,,W1S,Aparthotel,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by No.5 Maddox St'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Apartments'>]"
"Frankie Says - London lodgings don't get more fabulous than the Fitz n' Glamour, a dazzling 1 BR apartment in central Fitzrovia","Offering free WiFi and quiet street views, Frankie Says - London lodgings don't get more fabulous than the Fitz n' Glamour, a dazzling 1 BR apartment in...",London,,,London,Greater London,W1W 7TJ,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Frankie Says... STAY FLEXI...'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
"Spacious West End Duplex Apartment, W1 Central London","Offering free WiFi and quiet street views, Spacious West End Duplex Apartment, W1 Central London is an accommodation set in a central area of London, just...",12 Middleton Place,,,London,Greater London,W1W 7TQ,UK,,,,,W1W,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Magda London,"In a prime location in the Westminster Borough district of London, Magda London is located 600 metres from Oxford Street, 1.",76 Great Titchfield Street 76,,,London,Greater London,W1W 7QR,UK,,,,,W1W,Hotel,,
"Frankie Says- Cosy up in the Fitz and Flirty, a swish, modern 1 BR apartment in the heart of the West End","Offering free WiFi and quiet street views, Frankie Says- Cosy up in the Fitz and Flirty, a swish, modern 1 BR apartment in the heart of the West End is an...",London,,,London,Greater London,W1W 7TJ,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Frankie Says... STAY FLEXI...'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
Foley Street Apartments,"Set in the centre of London, just 700 metres from Oxford Circus and 700 metres from Oxford Street, Foley Street Apartments offers accommodation with city...",Bourlet Close,,,London,Greater London,W1W 7BF,UK,,,,,W1W,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
ARCORE Premium Apartments Oxford Street Area,"ARCORE Premium Apartments Oxford Street Area is located in the Westminster Borough district of London, 600 metres from Oxford Street, 1.",Great Titchfield Street,,,London,Greater London,W1W 7PQ,UK,,,,,W1W,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Apartments'>]"
The Interlock Apartments - Oxford St,The Interlock Apartments - Oxford St provides accommodation within 1.,30-40 Riding House Street,,,London,Greater London,W1W 7EA,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Hausd'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Apartments'>]"
The Fitz Apartment - Modern 1BR APT,"The Fitz Apartment - Modern 1BR APT is situated in the Westminster Borough district of London, 600 metres from Oxford Street, 1.",London,,,London,Greater London,W1W 7PJ,UK,,,,,W1W,Apartment,"[<Selector query=""//h2/div[contains(text(), 'Hosted')]/text() | //h2/div[@class='e1f827110f' or contains(text(), 'Managed by')]/text()"" data='Managed by Frankie Says... STAY FLEXI...'>]","[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
The Kings Arms Pub & Boutique Rooms,"Ideally situated in London, The Kings Arms Pub & Boutique Rooms features a buffet breakfast and free WiFi.",68 Great Titchfield Street Fitzrovia,,,London,Greater London,W1W 7QL,UK,,,,,W1W,Hotel,,
Central London Apartment *,"Situated in the centre of London, Central London Apartment * is close to sights such as Oxford Circus, Oxford Street and Carnaby Street.",Great Titchfield Street,,,London,Greater London,W1W 7PR,UK,,,,,W1W,Apartment,,"[<Selector query='//div[@data-testid=""property-highlights""]//div[contains(text(), ""Entire"") or contains(text(), ""Apartments"") or contains(text(), ""Houses"")]/text()' data='Entire apartment'>]"
